"id","op_id","sortid","名称","効果","付加係数","要求レベル上昇","ネックレス","ヘルメット","冠","イヤリング","マント","ベルト","グローブ","投擲機","爪","ブレスレット","共用鎧","専用鎧","ブーツ","リング","片手剣","両手剣","槍","弓","杖","牙","メイス","翼","笛","短剣","格闘武器","スリング","ワンド","鞭","鎌","爪武器","本","双剣","ほうき","ダークコア","双拳銃","錬金石","チェインアンカー","盾","鞘","矢","腕刺青","ブローチ","獣毛装飾","十字架","肩刺青","マスターキー","保護帯","スリング弾丸","星群","契約霊","ウォーペイント","コサージュ","魔弾石","触媒石","ラム酒","宝石"
"19","1","210","경지의","敏捷 [51~100] 増加","50","100","","","","","","","","","●","●","","","","","","●","●","●","","","","","","●","●","●","","","●","","","","","","●","","●","","","","","","","","","","","","","","","","","","",""
"493","1","211","깊은 경지의","敏捷 [101~150] 増加","25","250","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"574","1","212","매우 깊은 경지의","敏捷 [151~200] 増加","25","350","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"907","1","30062","세리의 ","敏捷 250 増加","100","0","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"20","2","301","질김의","健康 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"21","2","302","끈질김의","健康 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"22","2","303","끈덕짐의","健康 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"23","2","304","끈기의","健康 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"24","2","305","튼튼함의","健康 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"25","2","306","든든함의","健康 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"26","2","307","강건함의","健康 [16~20] 増加","95","44","●","●","","","●","●","●","●","●","","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"27","2","308","강인함의","健康 [21~30] 増加","85","60","","●","","","","●","●","","●","","","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","●","",""
"28","2","309","굳셈의","健康 [31~50] 増加","70","79","","","","","","●","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"29","2","310","굳건함의","健康 [51~100] 増加","50","100","","","","","","●","","","","","","","","","●","","","●","","●","●","","","","●","●","","","","●","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"494","2","311","강철 같은 굳건함의","健康 [101~150] 増加","25","250","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"575","2","312","금강석같은 굳건함의","健康 [151~200] 増加","25","350","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"908","2","30063","툰가의 ","健康 250 増加","100","0","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"30","3","401","신중의","知恵 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"31","3","402","조심스러움의","知恵 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"32","3","403","침착의","知恵 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"33","3","404","차분의","知恵 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"34","3","405","현명의","知恵 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"35","3","406","주의의","知恵 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"36","3","407","지혜로움의","知恵 [16~20] 増加","95","44","●","","●","●","●","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"37","3","408","사려 깊음의","知恵 [21~30] 増加","85","60","●","","●","●","","","","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"38","3","409","뜻 깊음의","知恵 [31~50] 増加","70","79","●","","","","","","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"39","3","410","속 깊음의","知恵 [51~100] 増加","50","100","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"495","3","411","마음 속 깊음의","知恵 [101~150] 増加","25","250","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"576","3","412","진심의","知恵 [151~200] 増加","25","350","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"909","3","30064","마퍼스의 ","知恵 250 増加","100","0","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"40","4","501","영리함의","知識 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"41","4","502","똑똑함의","知識 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"42","4","503","빠삭함의","知識 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"43","4","504","머리 좋음의","知識 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"44","4","505","다식함의","知識 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"45","4","506","유식함의","知識 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"46","4","507","지능의","知識 [16~20] 増加","95","44","●","","●","●","●","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"47","4","508","슬기로움의","知識 [21~30] 増加","85","60","●","","●","●","","","","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"48","4","509","통찰력의","知識 [31~50] 増加","70","79","","","●","","","","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"49","4","510","깨달음의","知識 [51~100] 増加","50","100","","","●","","","","","","","","","","","","","","","","●","","","","●","","","","","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"496","4","511","진정 깨달음의","知識 [101~150] 増加","25","250","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"577","4","512","해탈의","知識 [151~200] 増加","25","350","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"910","4","30065","티렌의 ","知識 250 増加","100","0","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","5","601","깨끗함의","カリスマ 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"51","5","602","두려움의","カリスマ [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"52","5","603","깔끔함의","カリスマ [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"53","5","604","무서움의","カリスマ [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"54","5","605","위압의","カリスマ [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"55","5","606","근엄의","カリスマ [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"56","5","607","아름다움의","カリスマ [16~20] 増加","95","44","●","","●","●","●","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"57","5","608","존경의","カリスマ [21~30] 増加","85","60","●","","●","●","●","","","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"58","5","609","경외의","カリスマ [31~50] 増加","70","79","","","●","","","","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"59","5","610","덕망의","カリスマ [51~100] 増加","50","100","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"497","5","611","바다 같은 덕망의","カリスマ [101~150] 増加","25","250","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"578","5","612","우주 같은 덕망의","カリスマ [151~200] 増加","25","350","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"911","5","30066","짐 모리의 ","カリスマ 250 増加","100","0","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"60","6","701","우연의","運 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"61","6","702","재수의","運 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"62","6","703","운의","運 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"63","6","704","운수의","運 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"64","6","705","기회의","運 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"65","6","706","행복의","運 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"66","6","707","운수대통의","運 [16~20] 増加","95","44","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"67","6","708","숙명의","運 [21~30] 増加","85","60","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"68","6","709","운명의","運 [31~50] 増加","70","79","●","●","●","●","●","●","●","●","●","●","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"69","6","710","여신의","運 [51~100] 増加","50","100","●","●","●","","","●","●","●","●","●","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"498","6","711","행운 여신의","運 [101~150] 増加","25","250","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"579","6","712","행운 여신들의","運 [151~200] 増加","25","350","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912","6","30067","핸슨의 ","運 250 増加","100","0","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","7","801","힘의","力固定 [35~120]","10","30","","●","","","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"499","7","811","진정한 힘의","力固定 [50~150]","10","230","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","","","","","","","","","","","","","","","","","","","","","","",""
"580","7","821","참된 힘의","力固定 [100~200]","10","330","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","8","802","민첩의","敏捷固定 [35~120]","10","30","","●","","","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"500","8","812","진정한 민첩의","敏捷固定 [50~150]","10","230","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"581","8","822","참된 민첩의","敏捷固定 [100~200]","10","330","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"72","9","803","건강의","健康固定 [35~120]","10","30","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"501","9","813","진정한 건강의","健康固定 [50~150]","10","230","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"582","9","823","참된 건강의","健康固定 [100~200]","10","330","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"73","10","804","지혜의","知恵固定 [35~120]","10","30","●","●","●","●","","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"502","10","814","진정한 지혜의","知恵固定 [50~150]","10","230","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"583","10","824","참된 지혜의","知恵固定 [100~200]","10","330","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"74","11","805","지식의","知識固定 [35~120]","10","30","●","●","●","●","","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"503","11","815","진정한 지식의","知識固定 [50~150]","10","230","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"584","11","825","참된 지식의","知識固定 [100~200]","10","330","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"75","12","806","위엄의","カリスマ固定 [35~120]","10","30","●","●","●","●","","","","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"504","12","816","진정한 위엄의","カリスマ固定 [50~150]","10","230","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"585","12","826","참된 위엄의","カリスマ固定 [100~200]","10","330","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"76","13","807","행운의","運固定 [35~120]","10","30","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"505","13","817","진정한 행운의","運固定 [50~150]","10","230","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"586","13","827","참된 행운의","運固定 [100~200]","10","330","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","14","901","힘 세지는","力 +[1~2]/レベル [8~12]","-25","30","","●","","●","●","●","●","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"78","14","902","강해지는","力 +1/レベル [2~3]","-5","75","","","","","","","●","","●","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"695","14","30032","힘차는","力 +1/レベル 5","100","0","","●","","●","●","●","●","","●","","","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
